| Address | Offset | Remaining Bits this location | 
| --------|--------|----------------------------- |
| 0       | 0      | 24                           |
| 1       | 16     | 8                            |
| 2       | 32     | 16                           |
| 3       | 48     | 24                           |
| 4       | 64     | 8                            |
| 5       | 80     | 16                           |
| 6       | 96     | 24                           |
| 7       | 112    | 8                            |
| 8       | 128    | 16                           |
| 9       | 144    | 24                           |
| 10      | 160    | 8                            |
| 11      | 176    | 16                           |
| 12      | 192    | 24                           |
| 13      | 208    | 8                            |
| 14      | 224    | 16                           |
| 15      | 240    | 24                           |
| 16      | 256    | 8                            |
| 17      | 272    | 16                           |
| 18      | 288    | 24                           |
| 19      | 304    | 8                            |
| 20      | 320    | 16                           |
| 21      | 336    | 24                           |
| 22      | 352    | 8                            |
| 23      | 368    | 16                           |
| 24      | 384    | 24                           |
| 25      | 400    | 8                            |
| 26      | 416    | 16                           |
| 27      | 432    | 24                           |
| 28      | 448    | 8                            |
| 29      | 464    | 16                           |
| 30      | 480    | 24                           |
| 31      | 496    | 8                            |
| 32      | 512    | 16                           |
| 33      | 528    | 24                           |
| 34      | 544    | 8                            |
| 35      | 560    | 16                           |
| 36      | 576    | 24                           |
| 37      | 592    | 8                            |
| 38      | 608    | 16                           |
| 39      | 624    | 24                           |
| 40      | 640    | 8                            |
| 41      | 656    | 16                           |
| 42      | 672    | 24                           |
| 43      | 688    | 8                            |
| 44      | 704    | 16                           |
| 45      | 720    | 24                           |
| 46      | 736    | 8                            |
| 47      | 752    | 16                           |
| 48      | 768    | 24                           |
| 49      | 784    | 8                            |
| 50      | 800    | 16                           |
| 51      | 816    | 24                           |
| 52      | 832    | 8                            |
| 53      | 848    | 16                           |
| 54      | 864    | 24                           |
| 55      | 880    | 8                            |
| 56      | 896    | 16                           |
| 57      | 912    | 24                           |
| 58      | 928    | 8                            |
| 59      | 944    | 16                           |
| 60      | 960    | 24                           |
| 61      | 976    | 8                            |
| 62      | 992    | 16                           |
| 63      | 1008   | 24                           |
| 64      | 1024   | 8                            |
| 65      | 1040   | 16                           |
| 66      | 1056   | 24                           |
| 67      | 1072   | 8                            |
| 68      | 1088   | 16                           |
| 69      | 1104   | 24                           |
| 70      | 1120   | 8                            |
| 71      | 1136   | 16                           |
| 72      | 1152   | 24                           |
| 73      | 1168   | 8                            |
| 74      | 1184   | 16                           |
| 75      | 1200   | 24                           |
| 76      | 1216   | 8                            |
| 77      | 1232   | 16                           |
| 78      | 1248   | 24                           |
| 79      | 1264   | 8                            |
| 80      | 1280   | 16                           |
| 81      | 1296   | 24                           |
| 82      | 1312   | 8                            |
| 83      | 1328   | 16                           |
| 84      | 1344   | 24                           |
| 85      | 1360   | 8                            |
| 86      | 1376   | 16                           |
| 87      | 1392   | 24                           |
| 88      | 1408   | 8                            |
| 89      | 1424   | 16                           |
| 90      | 1440   | 24                           |
| 91      | 1456   | 8                            |
| 92      | 1472   | 16                           |
| 93      | 1488   | 24                           |
| 94      | 1504   | 8                            |
| 95      | 1520   | 16                           |
| 96      | 1536   | 24                           |
| 97      | 1552   | 8                            |
| 98      | 1568   | 16                           |
| 99      | 1584   | 24                           |
| 100     | 1600   | 8                            |
